timestamp,temperature,temperature_class,humidity,humidity_class
775438446,24.1,ambiante,68.8,confortable
775438449,24.1,ambiante,68.1,confortable
775438453,24.1,ambiante,67.1,confortable
775438457,24,ambiante,66.6,confortable
775438460,24,ambiante,65.7,confortable
775438464,24,ambiante,64.4,confortable
775438467,23.9,ambiante,63.4,confortable
775438471,23.9,ambiante,63,confortable
775438475,23.9,ambiante,62.6,confortable
775438478,23.8,ambiante,62.3,confortable
775438482,23.8,ambiante,62.2,confortable
775438485,23.8,ambiante,62.2,confortable
775438489,23.8,ambiante,62.2,confortable
775438493,23.7,ambiante,62.1,confortable
775438496,23.7,ambiante,62,confortable
775438500,23.7,ambiante,62,confortable
775438503,23.7,ambiante,62,confortable
775438507,23.6,ambiante,62,confortable
